id,gender,tenderness,joy,inspiration,amusement,neutral,sadness,fear,disgust,anger
1,male,2,2,2,2,3,2,2,2,2
2,male,26,29,13,21,22,6,8,6,3
3,male,28,35,37,21,34,34,34,21,34
5,female,25,39,20,20,40,20,39,4,15
6,male,37,22,3,29,21,37,19,3,1
4,female,32,12,15,23,7,36,31_old,14,10
7,female,12,10,31_old,27,14,15,24,23,30
8,male,21,1,6,28,9,13,33,13,28
9,male,19,33,33,22,8,21,1,1,13
10,female,27,30,23,30,23,4,25,30,25
11,male,22,44,26,29,16,37,9,13,37
12,female,38,41,10,10,36,32,7,15,31_old
13,male,9,16,29,33,28,19,6,29,19
15,female,10,5,4,5,4,14,5,5,14
14,female,30,15,18,25,18,30,23,36,23
16,male,34,3,21,26,1,1,3,9,8
17,male,13,19,8,19,2,3,16,11,29
18,female,4,20,27,15,10,31_old,20,31_old,7
19,male,11,28,9,1,11,28,22,28,21
20,female,7,7,32,14,30,7,18,25,32
21,male,8,13,43,19,3,44,1,44,35
22,male,43,37,16,6,37,11,13,33,44
23,female,47,31,47,31,4,18,31,31,31
24,female,36,42,40,39,42,42,32,27,45
25,female,23,18,36,4,5,41,45,24,38
26,male,1,6,44,35,28,16,43,34,6
27,female,24,45,41,12,40,45,12,42,42
28,male,29,6,19,8,16,33,21,19,6
29,male,9,43,22,43,21,26,28,9,33
30,female,41,36,5,38,38,25,15,38,5
31,female,48,48,47,36,47,47,42,45,39
32,female,15,25,25,24,25,12,30,18,27
33,male,3,21,1,9,19,8,9,22,11
34,male,44,26,43,3,44,43,26,11,43
35,male,33,34,26,44,6,44,44,44,9
36,female,39,27,30,32,39,27,12,20,41
37,male,35,9,11,34,26,9,35,8,16
38,female,31_old,23,14,40,15,24,4,27,20
39,female,24,18,10,23,15,5,31_old,20,31_old
40,female,5,32,12,7,41,10,14,4,36
41,female,40,31_old,38,30,31_old,40,5,12,32
42,female,45,14,7,45,12,23,41,39,40
43,male,6,8,35,37,13,35,11,16,33
44,male,16,11,34,35,43,22,37,43,35
45,female,20,40,42,41,32,38,40,30,4
46,female,31,47,48,30,31,39,48,47,48
47,female,42,4,18,36,15,5,42,45,39
48,female,42,24,30,36,18,39,38,45,39
49,male,50,50,50,50,50,50,50,50,50
50,male,49,49,49,49,51,49,51,49,51
51,male,52,52,52,52,22,52,52,50,52
52,male,53,53,53,53,53,53,53,33,49
53,male,28,51,13,51,50,51,49,51,22
